Bucket	WT	ilvG
2,715	0,00612282	0,00596639
2,685	0,01535297	0,01264639
2,655	0,00383299	0,00307895
2,625	0,00034592	0,00019113
2,595	0,00200741	0,00212672
2,565	0,03946543	0,03580424
2,535	0,00261739	0,0015317
2,505	0,04140227	0,04203382
2,475	0,01102307	0,00969684
2,445	0,00693864	0,00538702
2,415	0,0006529	0,00109768
2,385	0,00043384	0,0004747
2,355	0,0006529	0,00221117
2,325	0,00059324	0,00086731
2,295	0,00234977	0,00219548
2,265	0,00113786	0,00106324
2,235	0,00529367	0,00560999
2,205	0,00691187	0,0030495
2,175	0,00881118	0,00514876
2,145	0,00325395	0,00465421
2,115	0,00188418	0,00391482
2,085	0,00298231	0,00371824
2,055	0,004443	0,00565322
2,025	0,02334203	0,0293963
1,995	0,00381433	0,00387602
1,965	0,00032832	0,00018968
1,935	0,34342584	0,26363355
1,905	0,00609441	0,00470448
1,875	0,00344738	0,00319657
1,845	0,00291369	0,00202669
1,815	0,00047127	0,0000867
1,785	0,00094989	0,00074047
1,755	0,00057517	0,00029697
1,725	0,00014837	0,00018044
1,695	0,0003689	0,00027921
1,665	0,00041643	0,00042838
1,635	0,00255512	0,00118207
1,605	0,00175654	0,00093574
1,575	0,00104943	0,00113236
1,545	0,00300306	0,00272913
1,515	0,00135603	0,00028582
1,485	0,0005144	0,0004542
1,455	0,00143593	0,00142522
1,425	0,00032821	0,00025538
1,395	0,00159642	0,00138501
1,365	0,00161493	0,00105364
1,335	0,0021268	0,00219078
1,305	0,0016969	0,00098872
1,275	0,00140289	0,00097874
1,245	0,03933275	0,00556071
1,215	0,04051255	0,00707901
1,185	0,24879545	0,25288502
1,155	0,00730498	0,00209828
1,125	0,00105751	0,00042868
1,095	0,0017316	0,00136305
1,065	0,01524984	0,00308717
1,035	0,00027802	0,0001962
1,005	0,00250047	0,00199871
0,975	0,00092444	0,00042917
0,945	0,00524413	0,00214858
0,915	0,01122629	0,00508644
0,885	0,00820396	0,00535806
0,855	0,00144677	0,00139695
0,825	0,00025435	0,00009108
0,795	0,00007169	0,00007892
0,765	0,00009095	0,00000475
0,735	0,00105741	0,00115554
0,705	0,00001753	0,00004238
0,675	0,00004167	0,00006772
0,645	0,00007474	0,00004647
0,615	0,00005122	0,000076
0,585	0,00000336	0,00007101
0,555	0,00003793	0,00012103
0,525	0,00000571	0,00002635
0,495	0,0000356	0,00003076
0,465	0,00010488	0,00016989
0,435	0,00005582	0,00006276
0,405	0,00004049	0,00003688
8,985	0,00023324	0,00012654
8,955	0,00015856	0,0001631
8,925	0,0001281	0,00013551
8,895	0,00039543	0,00034957
8,865	0,00038425	0,00029644
8,835	0,00016936	0,00028706
8,805	0,00026821	0,00023358
8,775	0,00009779	0,00025943
8,745	0,000178	0,00033729
8,715	0,00022071	0,00029876
8,685	0,00026935	0,00051155
8,655	0,00025184	0,00048616
8,625	0,00032944	0,00028129
8,595	0,00019751	0,00028506
8,565	0,00048246	0,00060394
8,535	0,00031331	0,00046457
8,505	0,00031741	0,00039412
8,475	0,00045297	0,00042487
8,445	0,00223745	0,00108228
8,415	0,0003551	0,00038164
8,385	0,00050494	0,00045575
8,355	0,00041097	0,00032657
8,325	0,00060397	0,00059009
8,295	0,00038907	0,00041609
8,265	0,00075958	0,00103934
8,235	0,00036954	0,00054771
8,205	0,00105068	0,00072094
8,175	0,00078954	0,00101356
8,145	0,00076864	0,00084034
8,115	0,00129841	0,00157922
8,085	0,00616252	0,00622897
8,055	0,01125884	0,01383207
8,025	0,00106737	0,00092977
7,995	0,00052731	0,00108239
7,965	0,00103203	0,00111841
7,935	0,00052997	0,00051686
7,905	0,00047753	0,00058281
7,875	0,00080493	0,00048726
7,845	0,0006015	0,0006557
7,815	0,00103804	0,00114609
7,785	0,00069718	0,00105289
7,755	0,00075474	0,00063349
7,725	0,00071186	0,00040568
7,695	0,00055565	0,00054748
7,665	0,00092145	0,00086885
7,635	0,00087153	0,00090071
7,605	0,00041555	0,00070941
7,575	0,00051739	0,00081102
7,545	0,00291483	0,00297295
7,515	0,00045903	0,0005899
7,485	0,00095526	0,0004113
7,455	0,00050801	0,00042583
7,425	0,0005591	0,00095909
7,395	0,00073063	0,00066734
7,365	0,00106607	0,00143022
7,335	0,00072638	0,00072807
7,305	0,00056792	0,00050519
7,275	0,00053439	0,00069475
7,245	0,00050644	0,00053004
7,215	0,00062094	0,00061269
7,185	0,00070374	0,00061238
7,155	0,00056807	0,00052004
7,125	0,00056736	0,00061228
7,095	0,00029117	0,00064573
7,065	0,00050712	0,00043669
7,035	0,00044724	0,0002626
7,005	0,00041912	0,00037828
6,975	0,00031141	0,00035005
6,945	0,00028053	0,00022993
6,915	0,00134677	0,00119982
6,885	0,00054678	0,00051733
6,855	0,00024496	0,00039453
6,825	0,00022863	0,00047366
6,795	0,00082792	0,00073701
6,765	0,00050734	0,00053884
6,735	0,00005384	0,00010419
6,705	0,0000709	0,00015526
6,675	0,00012923	0,00009267
6,645	0,00007732	0,00002559
6,615	0,00008598	0,00005115
6,585	0,00032212	0,0007529
6,555	0,00016384	0,00000893
6,525	0,00014115	0,00007255
6,495	0,00022869	0,00012672
6,465	0,00182	0,00105114
6,435	0,00214019	0,00078227
6,405	0,00056669	0,00008622
6,375	0,0000799	0,00001408
6,345	0,00008571	0,00019503
6,315	0,00013622	0,00027806
6,285	0,00006702	0,00000028
6,255	0,00029667	0,00009968
6,225	0,00016169	0,00005984
6,195	0,02977373	0,03173768
6,165	0,00011687	0,00000114
6,135	0,00006572	0
6,105	0,00001738	0,00000265
6,075	0,00004081	0,00001723
6,045	0,00029621	0,00047166
6,015	0,00046492	0,00072371
5,985	0,00017145	0,00007661
5,955	0,00045807	0,00061042
5,925	0,00026869	0,00042048
5,895	0	0
5,865	0,00001388	0
5,835	0,00000777	0,00000176
5,805	0,00137478	0,00159547
5,775	0,00003408	0
5,745	0	0
5,715	0	0
5,685	0,00000796	0
5,655	0,00008222	0
5,625	0,00014429	0,00000072
5,595	0,00003419	0
5,565	0,00000982	0
5,535	0,00010174	0
5,505	0	0
5,475	0,00048547	0,00009534
5,445	0,01638985	0,01576569
5,415	0,00026873	0,00005091
5,385	0,00000555	0
5,355	0,00019078	0
5,325	0,00070415	0
5,295	0,0006443	0
5,265	0,001686	0,00004957
5,235	0,0049758	0,00272714
5,205	0,00446177	0,00068419
5,175	0,00675776	0,00474239
5,145	0,01054757	0,00613309
5,115	0,02113215	0,02021926
5,085	0	0
5,055	0	0
5,025	0	0
4,995	0	0
4,965	0	0
4,935	0	0
4,905	0	0
4,875	0	0
4,845	0	0
4,815	0	0
4,785	0	0
4,755	0	0
4,725	0	0
4,695	0,0001277	0,00142399
4,665	0,00025757	0,00093091
4,635	0,00000278	0,00097086
4,605	0,00002476	0,00136866
4,575	0,00000741	0,00035784
4,545	0,00001117	0,00052602
4,515	0,00002015	0,00104893
4,485	0,00005986	0,00015839
4,455	0,0000079	0,00006909
4,425	0,00005019	0,00030573
4,395	0,00570288	0,00934626
4,365	0,00001455	0,00030623
4,335	0,00000673	0,0002842
4,305	0,0000795	0,00024404
4,275	0,00020096	0,00092192
4,245	0,00808569	0,0073469
4,215	0,00312744	0,00348092
4,185	0,0008737	0,00205004
4,155	0,00234521	0,00262408
4,125	0,00826444	0,00723563
4,095	0,00053976	0,00217275
4,065	0,00052977	0,00101109
4,035	0,00808732	0,01106
4,005	0,00225663	0,00289991
3,975	0,00158409	0,00260277
3,945	0,00213806	0,00261171
3,915	0,00200675	0,00299293
3,885	0,02442866	0,02543558
3,855	0,00808067	0,00662865
3,825	0,00575263	0,00388041
3,795	0,01578141	0,00557143
3,765	0,00547495	0,00769925
3,735	0,0052706	0,00663388
3,705	0,00236678	0,00343675
3,675	0,10419711	0,11304363
3,645	0,02660743	0,02917882
3,615	0,00260719	0,0026857
3,585	0,00445044	0,00467118
3,555	0,00353045	0,0035636
3,525	0,00268565	0,00271594
3,495	0,00162146	0,00181665
3,465	0,00150389	0,00141574
3,435	0,0036893	0,00382713
3,405	0,00539447	0,00530443
3,375	0,01130681	0,0126988
3,345	0,00241173	0,00222976
3,315	0,00002524	0,00002983
3,285	0,00022542	0,00028239
3,255	0,00093361	0,00075777
3,225	0,00019433	0,00031676
3,195	0,01657092	0,01665658
3,165	0,00436259	0,00486102
3,135	0,00178716	0,00271849
3,105	0,00001031	0,00004721
3,075	0,0000357	0,00001081
3,045	0,00004975	0,00004235
3,015	0,00425156	0,00295342
2,985	0,00549757	0,00372749
2,955	0,00011543	0,00000588
2,925	0,00002077	0,0000033
2,895	0,00637264	0,00618207
2,865	0,00103574	0,00085299
2,835	0,00007499	0,00003627
2,805	0,00612972	0,00449439
2,775	0,00338374	0,00272399
2,745	0,00020207	0,00043049
2,715	0,00564952	0,00656463
2,685	0,01415308	0,01495553
2,655	0,00372563	0,00317624
2,625	0,0003766	0,00023781
2,595	0,00199104	0,00218023
2,565	0,03441592	0,03548657
2,535	0,0011735	0,00126535
2,505	0,03985552	0,04254844
2,475	0,01149429	0,01069394
2,445	0,0077628	0,00666452
2,415	0,00091477	0,00038289
2,385	0,00071233	0,0004221
2,355	0,00046252	0,0017623
2,325	0,00070064	0,00101392
2,295	0,00238782	0,00197925
2,265	0,0011199	0,00110607
2,235	0,00579215	0,00588093
2,205	0,00658784	0,00276013
2,175	0,00873946	0,00463529
2,145	0,00364226	0,00457274
2,115	0,00195835	0,00363146
2,085	0,00330174	0,0032638
2,055	0,00468658	0,00551229
2,025	0,02530248	0,03350442
1,995	0,00490626	0,00584522
1,965	0,0005049	0,00063091
1,935	0,51863006	0,62666085
1,905	0,00778347	0,0094452
1,875	0,00318497	0,00373262
1,845	0,00369499	0,00444271
1,815	0,00024383	0,00014065
1,785	0,00108972	0,0004625
1,755	0,00067426	0,00029331
1,725	0,00034726	0,00013814
1,695	0,00040774	0,00023812
1,665	0,00087556	0,00047424
1,635	0,0024805	0,00094416
1,605	0,00168106	0,00075971
1,575	0,00122161	0,00125726
1,545	0,00359153	0,00287988
1,515	0,00161622	0,0004172
1,485	0,00075208	0,00049337
1,455	0,00220494	0,00164438
1,425	0,00041295	0,00047245
1,395	0,00128217	0,00184998
1,365	0,00088499	0,00109949
1,335	0,00187098	0,00191305
1,305	0,00142561	0,00129177
1,275	0,00118124	0,00113117
1,245	0,0400115	0,00506321
1,215	0,04087983	0,00614198
1,185	0,22607653	0,25448554
1,155	0,007524	0,00136575
1,125	0,00096302	0,00030855
1,095	0,00141423	0,00106515
1,065	0,01449662	0,00272963
1,035	0,00030028	0,00001527
1,005	0,00204205	0,00177124
0,975	0,00068012	0,00043661
0,945	0,00403321	0,00212404
0,915	0,01028037	0,00472504
0,885	0,00716098	0,00569218
0,855	0,00126347	0,00145696
0,825	0,00038589	0,00002642
0,795	0,00007295	0,00001472
0,765	0,00015555	0,00009168
0,735	0,00125103	0,00126935
0,705	0,00005893	0,00003912
0,675	0,00006049	0,00011807
0,645	0,00003203	0,0001407
0,615	0,00003643	0,00016708
0,585	0,00001548	0,00008958
0,555	0,00005559	0,00002066
0,525	0,00006506	0,00006689
0,495	0,00012159	0,00006049
0,465	0,00005139	0,00001387
0,435	0,00003232	0,00009352
0,405	0,00002841	0,0000758
8,985	0,00012018	0,00031546
8,955	0,0001633	0,00007267
8,925	0,00033398	0,00006932
8,895	0,00019916	0,00026725
8,865	0,0003219	0,0000451
8,835	0,00027928	0,00018022
8,805	0,00021369	0,00027895
8,775	0,00016402	0,00009181
8,745	0,00018299	0,00018053
8,715	0,0002978	0,00035247
8,685	0,00032115	0,00037137
8,655	0,00014563	0,00032695
8,625	0,00009788	0,00027393
8,595	0,00019536	0,00016561
8,565	0,00037061	0,00058062
8,535	0,0003897	0,00045467
8,505	0,00025928	0,00063233
8,475	0,00029876	0,0003519
8,445	0,00690406	0,00045883
8,415	0,0003168	0,00030836
8,385	0,00028174	0,00034177
8,355	0,00031229	0,00037
8,325	0,00034977	0,00036712
8,295	0,00047373	0,00038223
8,265	0,00068102	0,00084497
8,235	0,00045716	0,00046346
8,205	0,00084928	0,00068454
8,175	0,00062925	0,00081812
8,145	0,00064094	0,00100809
8,115	0,00101246	0,00131497
8,085	0,00576385	0,0059286
8,055	0,01192514	0,01215047
8,025	0,00095982	0,00093945
7,995	0,00063251	0,00070824
7,965	0,00121158	0,00159169
7,935	0,00078682	0,00054761
7,905	0,00063784	0,00056681
7,875	0,00069157	0,00074352
7,845	0,00059508	0,00064228
7,815	0,00079774	0,00138149
7,785	0,00076948	0,00127145
7,755	0,00079146	0,00057333
7,725	0,00048555	0,00055183
7,695	0,00046648	0,0006583
7,665	0,00092572	0,00060716
7,635	0,00123396	0,00074178
7,605	0,00062935	0,00047823
7,575	0,00012343	0,00057152
7,545	0,00262667	0,00470191
7,515	0,00058034	0,0005212
7,485	0,00030866	0,00066169
7,455	0,00050106	0,00079338
7,425	0,00095257	0,00084348
7,395	0,00073958	0,00071224
7,365	0,00114321	0,00159201
7,335	0,00031205	0,00084889
7,305	0,00078764	0,00069816
7,275	0,0006312	0,00061593
7,245	0,00035556	0,00046838
7,215	0,00049633	0,00049271
7,185	0,00043333	0,00074097
7,155	0,00060972	0,00077033
7,125	0,0006185	0,00062607
7,095	0,00053552	0,00063427
7,065	0,00049663	0,00067314
7,035	0,00042616	0,00040217
7,005	0,00041369	0,00034972
6,975	0,00031901	0,00063967
6,945	0,00037559	0,00032978
6,915	0,00130256	0,00152114
6,885	0,00049785	0,00061195
6,855	0,00033442	0,00057931
6,825	0,0004473	0,00060224
6,795	0,00088607	0,00085052
6,765	0,00068374	0,00136126
6,735	0,00029445	0,00029302
6,705	0,00031983	0,00048287
6,675	0,00031248	0,00015991
6,645	0,00028095	0,00023081
6,615	0,00011304	0,00027749
6,585	0,00078539	0,00073062
6,555	0,00009568	0,00016279
6,525	0,0002115	0,00011895
6,495	0,00042718	0,00017568
6,465	0,00196713	0,00110253
6,435	0,00247729	0,00138477
6,405	0,00086189	0,00010017
